ticker,name,instrument_type,n_observations,daily_vol_pct,annualized_vol_pct,risk_category,date_start,date_end
TSLA,Tesla,EQUITY,1256,3.7132,58.94,Agresivo,2021-05-07,2026-05-07
NVDA,NVIDIA,EQUITY,1256,3.2558,51.68,Agresivo,2021-05-07,2026-05-07
UBER,"Uber Technologies, Inc.",EQUITY,1256,2.8321,44.96,Agresivo,2021-05-07,2026-05-07
EC,Ecopetrol,EQUITY,1256,2.4492,38.88,Moderado,2021-05-07,2026-05-07
AVAL,Grupo Aval Acciones y Valores S.A.,EQUITY,1256,2.3134,36.72,Moderado,2021-05-07,2026-05-07
AMZN,Amazon,EQUITY,1256,2.2326,35.44,Moderado,2021-05-07,2026-05-07
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",EQUITY,1256,2.11,33.49,Moderado,2021-05-07,2026-05-07
CIB,Grupo Cibest S.A.,EQUITY,1256,2.0556,32.63,Moderado,2021-05-07,2026-05-07
GOOGL,Alphabet Inc.,EQUITY,1256,1.9668,31.22,Moderado,2021-05-07,2026-05-07
AAPL,Apple Inc.,EQUITY,1256,1.7326,27.5,Moderado,2021-05-07,2026-05-07
XOM,Exxon Mobil,EQUITY,1256,1.6876,26.79,Moderado,2021-05-07,2026-05-07
MSFT,Microsoft,EQUITY,1256,1.6647,26.43,Moderado,2021-05-07,2026-05-07
JPM,JPMorgan Chase,EQUITY,1256,1.5384,24.42,Moderado,2021-05-07,2026-05-07
IWM,iShares Russell 2000 ETF,ETF,1256,1.4237,22.6,Moderado,2021-05-07,2026-05-07
QQQ,Invesco QQQ Trust,ETF,1256,1.4126,22.42,Moderado,2021-05-07,2026-05-07
EEM,iShares MSCI Emerging Markets ETF,ETF,1256,1.1902,18.89,Conservador,2021-05-07,2026-05-07
XLF,Financial Select Sector SPDR Fund,ETF,1256,1.1743,18.64,Conservador,2021-05-07,2026-05-07
GLD,SPDR Gold Shares,ETF,1256,1.1303,17.94,Conservador,2021-05-07,2026-05-07
SPY,SPDR S&P 500 ETF Trust,ETF,1256,1.0801,17.15,Conservador,2021-05-07,2026-05-07
VOO,Vanguard S&P 500 ETF,ETF,1256,1.0616,16.85,Conservador,2021-05-07,2026-05-07
